event_id,duration_days,total_points,max_daily,mean_daily,start_time_idx,end_time_idx,time_span,start_date,end_date,is_duration_qualified,is_spatial_qualified,is_qualified
308,5,240,97,48,2872,2876,5,11/12/1957,11/16/1957,TRUE,TRUE,TRUE
1089,4,206,104,51.5,10547,10550,4,11/17/1978,11/20/1978,TRUE,TRUE,TRUE
1818,1,165,165,165,16376,16376,1,11/2/1994,11/2/1994,FALSE,TRUE,TRUE
2381,1,123,123,123,20363,20363,1,10/2/2005,10/2/2005,FALSE,TRUE,TRUE
332,2,101,87,50.5,2951,2952,2,1/30/1958,1/31/1958,TRUE,TRUE,TRUE
73,1,98,98,98,695,695,1,11/27/1951,11/27/1951,FALSE,TRUE,TRUE
1394,2,88,80,44,13088,13089,2,11/1/1985,11/2/1985,TRUE,TRUE,TRUE
475,1,85,85,85,4704,4704,1,11/18/1962,11/18/1962,FALSE,TRUE,TRUE
1871,2,84,69,42,16715,16716,2,10/7/1995,10/8/1995,TRUE,TRUE,TRUE
2323,2,79,63,39.5,20001,20002,2,10/5/2004,10/6/2004,TRUE,TRUE,TRUE
499,3,77,36,25.66666667,5053,5055,3,11/2/1963,11/4/1963,TRUE,TRUE,TRUE
2874,1,76,76,76,23850,23850,1,4/20/2015,4/20/2015,FALSE,TRUE,TRUE
1568,1,75,75,75,14558,14558,1,11/10/1989,11/10/1989,FALSE,TRUE,TRUE
1649,2,71,66,35.5,15061,15062,2,3/28/1991,3/29/1991,TRUE,TRUE,TRUE
1003,2,69,67,34.5,9853,9854,2,12/23/1976,12/24/1976,TRUE,TRUE,TRUE
3252,2,69,43,34.5,26276,26277,2,12/10/2021,12/11/2021,TRUE,TRUE,TRUE
728,1,68,68,68,7543,7543,1,8/27/1970,8/27/1970,FALSE,TRUE,TRUE
3091,2,68,44,34,25292,25293,2,4/1/2019,4/2/2019,TRUE,TRUE,TRUE
969,1,67,67,67,9780,9780,1,10/11/1976,10/11/1976,FALSE,TRUE,TRUE
1029,2,67,44,33.5,10140,10141,2,10/6/1977,10/7/1977,TRUE,TRUE,TRUE
1190,1,67,67,67,11420,11420,1,4/8/1981,4/8/1981,FALSE,TRUE,TRUE
2867,1,67,67,67,23829,23829,1,3/30/2015,3/30/2015,FALSE,TRUE,TRUE
3163,2,67,60,33.5,25676,25677,2,4/19/2020,4/20/2020,TRUE,TRUE,TRUE
2986,2,66,50,33,24549,24550,2,3/19/2017,3/20/2017,TRUE,TRUE,TRUE
8,2,65,50,32.5,99,100,2,4/10/1950,4/11/1950,TRUE,TRUE,TRUE
1951,1,65,65,65,17442,17442,1,10/3/1997,10/3/1997,FALSE,TRUE,TRUE
2168,1,63,63,63,18906,18906,1,10/6/2001,10/6/2001,FALSE,TRUE,TRUE
2556,1,61,61,61,21623,21623,1,3/15/2009,3/15/2009,FALSE,TRUE,TRUE
2592,1,60,60,60,21874,21874,1,11/21/2009,11/21/2009,FALSE,TRUE,TRUE
1030,2,56,49,28,10140,10141,2,10/6/1977,10/7/1977,TRUE,TRUE,TRUE
2638,1,56,56,56,22189,22189,1,10/2/2010,10/2/2010,FALSE,TRUE,TRUE
3164,1,56,56,56,25677,25677,1,4/20/2020,4/20/2020,FALSE,TRUE,TRUE
1395,1,54,54,54,13096,13096,1,11/9/1985,11/9/1985,FALSE,TRUE,TRUE
1956,1,54,54,54,17480,17480,1,11/10/1997,11/10/1997,FALSE,TRUE,TRUE
1393,1,53,53,53,13075,13075,1,10/19/1985,10/19/1985,FALSE,TRUE,TRUE
3048,1,53,53,53,24973,24973,1,5/17/2018,5/17/2018,FALSE,TRUE,TRUE
227,1,52,52,52,2138,2138,1,11/9/1955,11/9/1955,FALSE,TRUE,TRUE
726,1,52,52,52,7495,7495,1,7/10/1970,7/10/1970,FALSE,TRUE,TRUE
1234,2,52,29,26,11811,11812,2,5/4/1982,5/5/1982,TRUE,TRUE,TRUE
1357,1,52,52,52,12770,12770,1,12/18/1984,12/18/1984,FALSE,TRUE,TRUE
1867,1,52,52,52,16619,16619,1,7/3/1995,7/3/1995,FALSE,TRUE,TRUE
3315,2,52,49,26,26681,26682,2,1/19/2023,1/20/2023,TRUE,TRUE,TRUE
140,2,51,33,25.5,1223,1224,2,5/8/1953,5/9/1953,TRUE,TRUE,TRUE
924,1,51,51,51,9339,9339,1,7/28/1975,7/28/1975,FALSE,TRUE,TRUE
2270,1,50,50,50,19651,19651,1,10/21/2003,10/21/2003,FALSE,TRUE,TRUE
952,2,49,31,24.5,9581,9582,2,3/26/1976,3/27/1976,TRUE,TRUE,TRUE
3216,1,49,49,49,25930,25930,1,12/29/2020,12/29/2020,FALSE,TRUE,TRUE
326,1,48,48,48,2943,2943,1,1/22/1958,1/22/1958,FALSE,TRUE,TRUE
1627,2,48,40,24,14913,14914,2,10/31/1990,11/1/1990,TRUE,TRUE,TRUE
971,1,47,47,47,9784,9784,1,10/15/1976,10/15/1976,FALSE,TRUE,TRUE
1101,1,47,47,47,10668,10668,1,3/18/1979,3/18/1979,FALSE,TRUE,TRUE
1230,3,46,24,15.33333333,11808,11810,3,5/1/1982,5/3/1982,TRUE,TRUE,TRUE
1440,3,46,27,15.33333333,13309,13311,3,6/10/1986,6/12/1986,TRUE,TRUE,TRUE
1896,1,46,46,46,16894,16894,1,4/3/1996,4/3/1996,FALSE,TRUE,TRUE
2437,1,46,46,46,20814,20814,1,12/27/2006,12/27/2006,FALSE,TRUE,TRUE
2539,2,46,39,23,21508,21509,2,11/20/2008,11/21/2008,TRUE,TRUE,TRUE
630,1,45,45,45,6482,6482,1,10/1/1967,10/1/1967,FALSE,TRUE,TRUE
2343,1,43,43,43,20115,20115,1,1/27/2005,1/27/2005,FALSE,TRUE,TRUE
2643,2,43,42,21.5,22219,22220,2,11/1/2010,11/2/2010,TRUE,TRUE,TRUE
1628,1,42,42,42,14914,14914,1,11/1/1990,11/1/1990,FALSE,TRUE,TRUE
3113,1,42,42,42,25390,25390,1,7/8/2019,7/8/2019,FALSE,TRUE,TRUE
3131,1,42,42,42,25518,25518,1,11/13/2019,11/13/2019,FALSE,TRUE,TRUE
2316,1,41,41,41,19895,19895,1,6/21/2004,6/21/2004,FALSE,TRUE,TRUE
3199,1,41,41,41,25891,25891,1,11/20/2020,11/20/2020,FALSE,TRUE,TRUE
543,1,40,40,40,5420,5420,1,11/3/1964,11/3/1964,FALSE,TRUE,TRUE
2444,1,40,40,40,20826,20826,1,1/8/2007,1/8/2007,FALSE,TRUE,TRUE
11,1,39,39,39,136,136,1,5/17/1950,5/17/1950,FALSE,TRUE,TRUE
143,1,39,39,39,1337,1337,1,8/30/1953,8/30/1953,FALSE,TRUE,TRUE
316,1,39,39,39,2902,2902,1,12/12/1957,12/12/1957,FALSE,TRUE,TRUE
2272,1,39,39,39,19678,19678,1,11/17/2003,11/17/2003,FALSE,TRUE,TRUE
1011,1,38,38,38,9938,9938,1,3/18/1977,3/18/1977,FALSE,TRUE,TRUE
1237,1,38,38,38,11813,11813,1,5/6/1982,5/6/1982,FALSE,TRUE,TRUE
1977,1,38,38,38,17573,17573,1,2/11/1998,2/11/1998,FALSE,TRUE,TRUE
2107,1,38,38,38,18346,18346,1,3/25/2000,3/25/2000,FALSE,TRUE,TRUE
2747,1,38,38,38,22772,22772,1,5/7/2012,5/7/2012,FALSE,TRUE,TRUE
303,1,37,37,37,2733,2733,1,6/26/1957,6/26/1957,FALSE,TRUE,TRUE
757,1,37,37,37,7674,7674,1,1/5/1971,1/5/1971,FALSE,TRUE,TRUE
1771,2,37,35,18.5,15887,15888,2,7/1/1993,7/2/1993,TRUE,TRUE,TRUE
3194,1,37,37,37,25874,25874,1,11/3/2020,11/3/2020,FALSE,TRUE,TRUE
1677,1,36,36,36,15331,15331,1,12/23/1991,12/23/1991,FALSE,TRUE,TRUE
867,1,35,35,35,8576,8576,1,6/25/1973,6/25/1973,FALSE,TRUE,TRUE
975,1,35,35,35,9787,9787,1,10/18/1976,10/18/1976,FALSE,TRUE,TRUE
1706,2,35,28,17.5,15526,15527,2,7/5/1992,7/6/1992,TRUE,TRUE,TRUE
1775,1,35,35,35,15904,15904,1,7/18/1993,7/18/1993,FALSE,TRUE,TRUE
1890,1,35,35,35,16836,16836,1,2/5/1996,2/5/1996,FALSE,TRUE,TRUE
3041,1,35,35,35,24885,24885,1,2/18/2018,2/18/2018,FALSE,TRUE,TRUE
3232,1,35,35,35,26070,26070,1,5/18/2021,5/18/2021,FALSE,TRUE,TRUE
21,2,34,29,17,275,276,2,10/3/1950,10/4/1950,TRUE,TRUE,TRUE
417,1,34,34,34,4106,4106,1,3/30/1961,3/30/1961,FALSE,TRUE,TRUE
722,1,34,34,34,7438,7438,1,5/14/1970,5/14/1970,FALSE,TRUE,TRUE
1307,1,34,34,34,12376,12376,1,11/20/1983,11/20/1983,FALSE,TRUE,TRUE
1767,1,34,34,34,15852,15852,1,5/27/1993,5/27/1993,FALSE,TRUE,TRUE
2136,1,34,34,34,18540,18540,1,10/5/2000,10/5/2000,FALSE,TRUE,TRUE
631,1,33,33,33,6484,6484,1,10/3/1967,10/3/1967,FALSE,TRUE,TRUE
756,1,33,33,33,7672,7672,1,1/3/1971,1/3/1971,FALSE,TRUE,TRUE
1058,1,33,33,33,10285,10285,1,2/28/1978,2/28/1978,FALSE,TRUE,TRUE
1203,1,33,33,33,11455,11455,1,5/13/1981,5/13/1981,FALSE,TRUE,TRUE
348,1,32,32,32,3192,3192,1,9/28/1958,9/28/1958,FALSE,TRUE,TRUE
1363,1,32,32,32,12774,12774,1,12/22/1984,12/22/1984,FALSE,TRUE,TRUE
2582,1,31,31,31,21732,21732,1,7/2/2009,7/2/2009,FALSE,TRUE,TRUE
2891,1,31,31,31,23922,23922,1,7/1/2015,7/1/2015,FALSE,TRUE,TRUE
78,1,30,30,30,738,738,1,1/9/1952,1/9/1952,FALSE,TRUE,TRUE
1085,1,30,30,30,10546,10546,1,11/16/1978,11/16/1978,FALSE,TRUE,TRUE
1519,2,30,21,15,14209,14210,2,11/26/1988,11/27/1988,TRUE,TRUE,TRUE
2224,1,30,30,30,19326,19326,1,11/30/2002,11/30/2002,FALSE,TRUE,TRUE
2658,1,30,30,30,22281,22281,1,1/2/2011,1/2/2011,FALSE,TRUE,TRUE
