event_id,duration_days,total_points,max_daily,mean_daily,start_time_idx,end_time_idx,time_span,start_date,end_date,is_duration_qualified,is_spatial_qualified,is_qualified
298136,20,7700,994,385.0,15719,15738,20,1993-01-14,1993-02-02,True,True,True
463363,19,7467,1101,393.0,24541,24559,19,2017-03-11,2017-03-29,True,True,True
171961,10,7256,1259,725.6,9130,9139,10,1974-12-31,1975-01-09,True,True,True
414925,10,7149,1290,714.9,21959,21968,10,2010-02-14,2010-02-23,True,True,True
270466,17,6959,1090,409.35294117647,14257,14273,17,1989-01-13,1989-01-29,True,True,True
250876,9,6860,2069,762.222222222222,13192,13200,9,1986-02-13,1986-02-21,True,True,True
999,14,6805,1171,486.071428571428,37,50,14,1950-02-07,1950-02-20,True,True,True
365342,9,6788,1286,754.222222222222,19334,19342,9,2002-12-08,2002-12-16,True,True,True
128552,14,6303,726,450.214285714285,6883,6896,14,1968-11-05,1968-11-18,True,True,True
291371,11,6213,1261,564.818181818181,15366,15376,11,1992-01-27,1992-02-06,True,True,True
427678,16,6116,1357,382.25,22643,22658,16,2011-12-30,2012-01-14,True,True,True
27814,13,5551,1061,427.0,1460,1472,13,1953-12-31,1954-01-12,True,True,True
318237,13,5485,1219,421.923076923076,16807,16819,13,1996-01-07,1996-01-19,True,True,True
433194,9,5400,1101,600.0,22967,22975,9,2012-11-18,2012-11-26,True,True,True
62373,20,5297,846,264.85,3317,3336,20,1959-01-31,1959-02-19,True,True,True
461596,11,5271,1874,479.181818181818,24473,24483,11,2017-01-02,2017-01-12,True,True,True
425807,11,5153,1009,468.454545454545,22553,22563,11,2011-10-01,2011-10-11,True,True,True
228340,11,4991,1067,453.727272727272,12057,12067,11,1983-01-05,1983-01-15,True,True,True
386836,19,4887,1095,257.210526315789,20463,20481,19,2006-01-10,2006-01-28,True,True,True
690,9,4789,1464,532.111111111111,24,32,9,1950-01-25,1950-02-02,True,True,True
399664,12,4782,570,398.5,21164,21175,12,2007-12-12,2007-12-23,True,True,True
200685,10,4729,1231,472.9,10624,10633,10,1979-02-02,1979-02-11,True,True,True
94477,10,4699,1148,469.9,5077,5086,10,1963-11-26,1963-12-05,True,True,True
479993,8,4681,1015,585.125,25504,25511,8,2019-10-30,2019-11-06,True,True,True
28315,11,4634,1519,421.272727272727,1480,1490,11,1954-01-20,1954-01-30,True,True,True
191659,6,4479,1464,746.5,10199,10204,6,1977-12-04,1977-12-09,True,True,True
367714,11,4462,1008,405.636363636363,19433,19443,11,2003-03-17,2003-03-27,True,True,True
316045,13,4444,964,341.846153846153,16719,16731,13,1995-10-11,1995-10-23,True,True,True
501529,6,4439,1203,739.833333333333,26665,26670,6,2023-01-03,2023-01-08,True,True,True
345472,16,4383,855,273.9375,18250,18265,16,1999-12-20,2000-01-04,True,True,True
411683,8,4292,1098,536.5,21834,21841,8,2009-10-12,2009-10-19,True,True,True
363555,8,4291,1482,536.375,19264,19271,8,2002-09-29,2002-10-06,True,True,True
115660,12,4274,1680,356.166666666666,6180,6191,12,1966-12-03,1966-12-14,True,True,True
292621,11,4195,877,381.363636363636,15423,15433,11,1992-03-24,1992-04-03,True,True,True
152341,12,4170,731,347.5,8083,8094,12,1972-02-18,1972-02-29,True,True,True
88087,7,4150,1209,592.857142857142,4730,4736,7,1962-12-14,1962-12-20,True,True,True
293146,9,4146,974,460.666666666666,15451,15459,9,1992-04-21,1992-04-29,True,True,True
142355,7,4115,1070,587.857142857142,7592,7598,7,1970-10-15,1970-10-21,True,True,True
417,11,4027,756,366.090909090909,14,24,11,1950-01-15,1950-01-25,True,True,True
508974,9,4003,1124,444.777777777777,27049,27057,9,2024-01-22,2024-01-30,True,True,True
158298,9,3982,1077,442.444444444444,8411,8419,9,1973-01-11,1973-01-19,True,True,True
156411,8,3922,1145,490.25,8343,8350,8,1972-11-04,1972-11-11,True,True,True
