Year,sea_total,sea_extreme,sea_ratio,land_total,land_extreme,land_ratio
1950,17119960,262,1.53E-05,82555335,3113,3.77E-05
1951,17119960,291,1.70E-05,82555335,3579,4.34E-05
1952,17166864,138,8.04E-06,82781514,3301,3.99E-05
1953,17119960,313,1.83E-05,82555335,4578,5.55E-05
1954,17119960,162,9.46E-06,82555335,4124,5.00E-05
1955,17119960,264,1.54E-05,82555335,3271,3.96E-05
1956,17166864,218,1.27E-05,82781514,3939,4.76E-05
1957,17119960,445,2.60E-05,82555335,3638,4.41E-05
1958,17119960,337,1.97E-05,82555335,5057,6.13E-05
1959,17119960,80,4.67E-06,82555335,2295,2.78E-05
1960,17166864,105,6.12E-06,82781514,2483,3.00E-05
1961,17119960,147,8.59E-06,82555335,2743,3.32E-05
1962,17119960,271,1.58E-05,82555335,2309,2.80E-05
1963,17119960,203,1.19E-05,82555335,4345,5.26E-05
1964,17166864,197,1.15E-05,82781514,3463,4.18E-05
1965,17119960,128,7.48E-06,82555335,2883,3.49E-05
1966,17119960,112,6.54E-06,82555335,3125,3.79E-05
1967,17119960,252,1.47E-05,82555335,2465,2.99E-05
1968,17166864,167,9.73E-06,82781514,2993,3.62E-05
1969,17119960,112,6.54E-06,82555335,2442,2.96E-05
1970,17119960,297,1.73E-05,82555335,2681,3.25E-05
1971,17119960,327,1.91E-05,82555335,2965,3.59E-05
1972,17166864,206,1.20E-05,82781514,3663,4.42E-05
1973,17119960,199,1.16E-05,82555335,3395,4.11E-05
1974,17119960,127,7.42E-06,82555335,1934,2.34E-05
1975,17119960,186,1.09E-05,82555335,7155,8.67E-05
1976,17166864,591,3.44E-05,82781514,4246,5.13E-05
1977,17119960,277,1.62E-05,82555335,3264,3.95E-05
1978,17119960,523,3.05E-05,82555335,3319,4.02E-05
1979,17119960,248,1.45E-05,82555335,3551,4.30E-05
1980,17166864,182,1.06E-05,82781514,3541,4.28E-05
1981,17119960,250,1.46E-05,82555335,5864,7.10E-05
1982,17119960,409,2.39E-05,82555335,3407,4.13E-05
1983,17119960,242,1.41E-05,82555335,4019,4.87E-05
1984,17166864,276,1.61E-05,82781514,5093,6.15E-05
1985,17119960,391,2.28E-05,82555335,3601,4.36E-05
1986,17119960,268,1.57E-05,82555335,3903,4.73E-05
1987,17119960,236,1.38E-05,82555335,3102,3.76E-05
1988,17166864,137,7.98E-06,82781514,2538,3.07E-05
1989,17119960,323,1.89E-05,82555335,2981,3.61E-05
1990,17119960,369,2.16E-05,82555335,3296,3.99E-05
1991,17119960,275,1.61E-05,82555335,3558,4.31E-05
1992,17166864,295,1.72E-05,82781514,4578,5.53E-05
1993,17119960,376,2.20E-05,82555335,4429,5.36E-05
1994,17119960,355,2.07E-05,82555335,2368,2.87E-05
1995,17119960,298,1.74E-05,82555335,6164,7.47E-05
1996,17166864,223,1.30E-05,82781514,2826,3.41E-05
1997,17119960,367,2.14E-05,82555335,5015,6.07E-05
1998,17119960,302,1.76E-05,82555335,4574,5.54E-05
1999,17119960,198,1.16E-05,82555335,3720,4.51E-05
2000,17166864,402,2.34E-05,82781514,3849,4.65E-05
2001,17119960,205,1.20E-05,82555335,5223,6.33E-05
2002,17119960,215,1.26E-05,82555335,4446,5.39E-05
2003,17119960,302,1.76E-05,82555335,3862,4.68E-05
2004,17166864,398,2.32E-05,82781514,4590,5.54E-05
2005,17119960,383,2.24E-05,82555335,3632,4.40E-05
2006,17119960,190,1.11E-05,82555335,3807,4.61E-05
2007,17119960,344,2.01E-05,82555335,4471,5.42E-05
2008,17166864,241,1.40E-05,82781514,3772,4.56E-05
2009,17119960,412,2.41E-05,82555335,2856,3.46E-05
2010,17119960,338,1.97E-05,82555335,4511,5.46E-05
2011,17119960,349,2.04E-05,82555335,3843,4.66E-05
2012,17166864,204,1.19E-05,82781514,5169,6.24E-05
2013,17119960,197,1.15E-05,82555335,2873,3.48E-05
2014,17119960,220,1.29E-05,82555335,3901,4.73E-05
2015,17119960,382,2.23E-05,82555335,5001,6.06E-05
2016,17166864,182,1.06E-05,82781514,5261,6.36E-05
2017,17119960,368,2.15E-05,82555335,5552,6.73E-05
2018,17119960,222,1.30E-05,82555335,2717,3.29E-05
2019,17119960,453,2.65E-05,82555335,4415,5.35E-05
2020,17166864,594,3.46E-05,82781514,4310,5.21E-05
2021,17119960,229,1.34E-05,82555335,3622,4.39E-05
2022,17119960,221,1.29E-05,82555335,4113,4.98E-05
2023,17119960,258,1.51E-05,82555335,4343,5.26E-05
2024,17166864,191,1.11E-05,82781514,4471,5.40E-05
