Year,sea_total,sea_extreme,sea_ratio,land_total,land_extreme,land_ratio,original_columns,sea_columns,land_columns,unmatched_columns
1950,17119960,157346,0.00919079250185164,82555335,876241,0.010613983941800974,313013,46904,226179,39930
1951,17119960,167113,0.009761296171252737,82555335,887989,0.01075628849425661,313013,46904,226179,39930
1952,17166864,151599,0.008830908196162095,82781514,809388,0.009777400302197904,313013,46904,226179,39930
1953,17119960,167683,0.00979459064156692,82555335,902300,0.010929638890085056,313013,46904,226179,39930
1954,17119960,158891,0.009281038039808504,82555335,807331,0.009779271079210084,313013,46904,226179,39930
1955,17119960,163750,0.009564858796399057,82555335,803455,0.00973232075189326,313013,46904,226179,39930
1956,17166864,153492,0.008941178773245946,82781514,726161,0.00877201883502638,313013,46904,226179,39930
1957,17119960,151871,0.008870990352781199,82555335,810736,0.009820516142294134,313013,46904,226179,39930
1958,17119960,180819,0.010561882153930266,82555335,818302,0.009912163762644777,313013,46904,226179,39930
1959,17119960,158862,0.009279344110617082,82555335,782958,0.009484038796523568,313013,46904,226179,39930
1960,17166864,158001,0.009203835948138226,82781514,764900,0.0092399856325411,313013,46904,226179,39930
1961,17119960,168213,0.009825548657823967,82555335,777260,0.009415018423703327,313013,46904,226179,39930
1962,17119960,167832,0.00980329393292975,82555335,791306,0.009585158851332867,313013,46904,226179,39930
1963,17119960,167780,0.009800256542655473,82555335,811151,0.009825543073624496,313013,46904,226179,39930
1964,17166864,163094,0.009500512149452573,82781514,839336,0.010139171892893865,313013,46904,226179,39930
1965,17119960,166658,0.009734719006352819,82555335,760252,0.0092089990307713,313013,46904,226179,39930
1966,17119960,177377,0.010360830282313743,82555335,804771,0.009748261575099901,313013,46904,226179,39930
1967,17119960,196969,0.011505225479498784,82555335,837708,0.010147230339505013,313013,46904,226179,39930
1968,17166864,160731,0.009362863246309867,82781514,835749,0.010095840962754076,313013,46904,226179,39930
1969,17119960,163679,0.009560711590447642,82555335,790636,0.009577043082679029,313013,46904,226179,39930
1970,17119960,157567,0.009203701410517314,82555335,758589,0.009188854966187224,313013,46904,226179,39930
1971,17119960,165103,0.00964388935488167,82555335,756371,0.009161988138016762,313013,46904,226179,39930
1972,17166864,183456,0.010686634437134237,82781514,803145,0.009701984914168156,313013,46904,226179,39930
1973,17119960,180433,0.010539335372278908,82555335,889736,0.010777450058194301,313013,46904,226179,39930
1974,17119960,163666,0.009559952242879073,82555335,819974,0.00993241684501674,313013,46904,226179,39930
1975,17119960,195291,0.011407211231801943,82555335,904167,0.010952254024527912,313013,46904,226179,39930
1976,17166864,171873,0.01001190432917742,82781514,857198,0.010354944704200505,313013,46904,226179,39930
1977,17119960,191919,0.01121024815478541,82555335,919645,0.011139740393519086,313013,46904,226179,39930
1978,17119960,191495,0.01118548174177977,82555335,937067,0.01135077460469393,313013,46904,226179,39930
1979,17119960,214648,0.012537879761401312,82555335,864144,0.01046745192179282,313013,46904,226179,39930
1980,17166864,193720,0.011284530476853547,82781514,862139,0.010414631943068835,313013,46904,226179,39930
1981,17119960,205231,0.011987820065000153,82555335,963297,0.011668500890947871,313013,46904,226179,39930
1982,17119960,187960,0.010978997614480408,82555335,902635,0.010933696774411975,313013,46904,226179,39930
1983,17119960,190840,0.011147222306594174,82555335,944136,0.01143640202053568,313013,46904,226179,39930
1984,17166864,188609,0.010986805743902905,82781514,927872,0.01120868603587028,313013,46904,226179,39930
1985,17119960,180768,0.010558903175007418,82555335,837323,0.010142566800800942,313013,46904,226179,39930
1986,17119960,202220,0.011811943485849265,82555335,860948,0.010428738494005264,313013,46904,226179,39930
1987,17119960,194940,0.011386708847450577,82555335,895587,0.010848323733408629,313013,46904,226179,39930
1988,17166864,181601,0.010578577426838123,82781514,865925,0.010460366791552036,313013,46904,226179,39930
1989,17119960,200226,0.011695471251101054,82555335,846843,0.010257883394210684,313013,46904,226179,39930
1990,17119960,210655,0.012304643235147746,82555335,963003,0.011664939643210217,313013,46904,226179,39930
1991,17119960,195489,0.011418776679384766,82555335,932409,0.01129435184291845,313013,46904,226179,39930
1992,17166864,178985,0.010426190829029694,82781514,930464,0.01123999737429301,313013,46904,226179,39930
1993,17119960,191920,0.011210306566136837,82555335,926474,0.011222460668350507,313013,46904,226179,39930
1994,17119960,176867,0.010331040493085265,82555335,860629,0.010424874419079034,313013,46904,226179,39930
1995,17119960,216256,0.012631805214498165,82555335,945078,0.011447812549001225,313013,46904,226179,39930
1996,17166864,211072,0.012295314974243403,82781514,916158,0.01106718101338422,313013,46904,226179,39930
1997,17119960,193613,0.011309196984105103,82555335,977001,0.011834498642637692,313013,46904,226179,39930
1998,17119960,221166,0.012918604950011566,82555335,1008590,0.012217138965034785,313013,46904,226179,39930
1999,17119960,192462,0.011241965518611025,82555335,844603,0.010230750078114274,313013,46904,226179,39930
2000,17166864,204715,0.011925008551358012,82781514,948747,0.011460855862095009,313013,46904,226179,39930
2001,17119960,200785,0.011728123196549525,82555335,887292,0.01074784567223911,313013,46904,226179,39930
2002,17119960,186359,0.010885481040843553,82555335,871620,0.010558009364264587,313013,46904,226179,39930
2003,17119960,200424,0.011707036698683875,82555335,871832,0.010560577338823712,313013,46904,226179,39930
2004,17166864,209464,0.012201646148067579,82781514,909177,0.010982850591498,313013,46904,226179,39930
2005,17119960,210122,0.012273509984836414,82555335,899142,0.010891385759624136,313013,46904,226179,39930
2006,17119960,209015,0.012208848618805184,82555335,907245,0.01098953810798539,313013,46904,226179,39930
2007,17119960,228279,0.013334084892721712,82555335,950685,0.01151573063085505,313013,46904,226179,39930
2008,17166864,220054,0.012818532260755371,82781514,872980,0.01054559113282224,313013,46904,226179,39930
2009,17119960,188170,0.01099126399828037,82555335,846491,0.010253619587395534,313013,46904,226179,39930
2010,17119960,231112,0.013499564251318345,82555335,987883,0.011966313261281055,313013,46904,226179,39930
2011,17119960,215197,0.012569947593335499,82555335,876386,0.010615740339494716,313013,46904,226179,39930
2012,17166864,239078,0.01392671369680566,82781514,901931,0.01089531897181779,313013,46904,226179,39930
2013,17119960,208016,0.012150495678728222,82555335,921703,0.011164669127682663,313013,46904,226179,39930
2014,17119960,220749,0.012894247416465927,82555335,936096,0.011339012796689639,313013,46904,226179,39930
2015,17119960,225535,0.013173804144402206,82555335,918155,0.011121691893079957,313013,46904,226179,39930
2016,17166864,213435,0.012432963877386108,82781514,950733,0.011484846725562424,313013,46904,226179,39930
2017,17119960,214691,0.012540391449512732,82555335,894352,0.010833364070292974,313013,46904,226179,39930
2018,17119960,201353,0.011761300844160851,82555335,823494,0.009975054913168241,313013,46904,226179,39930
2019,17119960,231163,0.013502543230241193,82555335,894221,0.010831777255824836,313013,46904,226179,39930
2020,17166864,211826,0.012339236799452712,82781514,911343,0.011009015853466995,313013,46904,226179,39930
2021,17119960,230482,0.013462765099918457,82555335,922845,0.011178502273656814,313013,46904,226179,39930
2022,17119960,212113,0.01238980698553034,82555335,876044,0.010611597663554996,313013,46904,226179,39930
2023,17119960,214857,0.012550087733849845,82555335,820459,0.009938291692475114,313013,46904,226179,39930
2024,17166864,215304,0.012541836412288232,82781514,916855,0.011075600767582,313013,46904,226179,39930
