Year,sea_total,sea_extreme,sea_ratio,land_total,land_extreme,land_ratio,original_columns,sea_columns,land_columns,unmatched_columns
1950,17119960,172278,0.010062990801380378,82555335,794247,0.009620783441796947,313013,46904,226179,39930
1951,17119960,176584,0.01031451008063103,82555335,803444,0.009732187507930286,313013,46904,226179,39930
1952,17166864,173443,0.010103359588565506,82781514,903390,0.010912943679672252,313013,46904,226179,39930
1953,17119960,167922,0.009808550954558305,82555335,826637,0.010013126347316015,313013,46904,226179,39930
1954,17119960,150814,0.008809249554321389,82555335,800193,0.009692807860327864,313013,46904,226179,39930
1955,17119960,152822,0.008926539547989599,82555335,782452,0.009477909574226789,313013,46904,226179,39930
1956,17166864,169447,0.009870585565307677,82781514,838235,0.01012587182205921,313013,46904,226179,39930
1957,17119960,161166,0.009413923864308095,82555335,816192,0.009886605147928962,313013,46904,226179,39930
1958,17119960,184907,0.01080066775856953,82555335,890549,0.010787297998366793,313013,46904,226179,39930
1959,17119960,167338,0.009774438725324125,82555335,801315,0.009706398744551155,313013,46904,226179,39930
1960,17166864,176428,0.010277241084918015,82781514,830696,0.010034800764818098,313013,46904,226179,39930
1961,17119960,155972,0.00911053530498903,82555335,823061,0.009969809946262105,313013,46904,226179,39930
1962,17119960,181931,0.010626835576718638,82555335,807320,0.00977913783524711,313013,46904,226179,39930
1963,17119960,204033,0.01191784326598894,82555335,783449,0.0094899863225072,313013,46904,226179,39930
1964,17166864,176119,0.010259241291828257,82781514,788324,0.009522947357546517,313013,46904,226179,39930
1965,17119960,166575,0.009729870864184262,82555335,834935,0.010113640747748162,313013,46904,226179,39930
1966,17119960,181159,0.01058174201341592,82555335,854580,0.010351602352531184,313013,46904,226179,39930
1967,17119960,149797,0.008749845209918715,82555335,741711,0.008984410274635795,313013,46904,226179,39930
1968,17166864,193442,0.011268336488248524,82781514,860447,0.010394192597153998,313013,46904,226179,39930
1969,17119960,174163,0.010173096198822895,82555335,869924,0.01053746556779159,313013,46904,226179,39930
1970,17119960,156226,0.009125371788251842,82555335,805482,0.009756873980343002,313013,46904,226179,39930
1971,17119960,161041,0.009406622445379546,82555335,832157,0.010079990590553596,313013,46904,226179,39930
1972,17166864,181675,0.010582888056898453,82781514,849265,0.01025911413023927,313013,46904,226179,39930
1973,17119960,169691,0.00991188063523513,82555335,795480,0.009635718878737516,313013,46904,226179,39930
1974,17119960,168647,0.009850899184343889,82555335,855259,0.010359827138972908,313013,46904,226179,39930
1975,17119960,175021,0.010223213138348454,82555335,808863,0.009797828329326021,313013,46904,226179,39930
1976,17166864,183604,0.010695255697254897,82781514,798911,0.00965083822941436,313013,46904,226179,39930
1977,17119960,164360,0.009600489720770376,82555335,854014,0.010344746344981823,313013,46904,226179,39930
1978,17119960,164850,0.009629111282970287,82555335,847391,0.010264521366184269,313013,46904,226179,39930
1979,17119960,173034,0.010107149783060241,82555335,842092,0.0102003341152937,313013,46904,226179,39930
1980,17166864,176447,0.010278347868311883,82781514,870233,0.010512407395689816,313013,46904,226179,39930
1981,17119960,183108,0.010695585737349854,82555335,887791,0.010753890102923087,313013,46904,226179,39930
1982,17119960,177756,0.010382968184505103,82555335,825629,0.010000916355072631,313013,46904,226179,39930
1983,17119960,169668,0.009910537174152276,82555335,853236,0.010335322362873338,313013,46904,226179,39930
1984,17166864,183948,0.010715294301859676,82781514,918850,0.011099700350974495,313013,46904,226179,39930
1985,17119960,181761,0.01061690564697581,82555335,887555,0.01075103141426293,313013,46904,226179,39930
1986,17119960,166973,0.009753118582052762,82555335,787616,0.00954046155829905,313013,46904,226179,39930
1987,17119960,185542,0.010837758966726558,82555335,910847,0.01103316944931542,313013,46904,226179,39930
1988,17166864,167298,0.009745402538285385,82781514,790125,0.009544703422553978,313013,46904,226179,39930
1989,17119960,171778,0.010033785125666182,82555335,781686,0.00946863094916882,313013,46904,226179,39930
1990,17119960,146417,0.008552414842090753,82555335,796894,0.009652846784523375,313013,46904,226179,39930
1991,17119960,180322,0.010532851712270357,82555335,832577,0.010085078087321673,313013,46904,226179,39930
1992,17166864,193987,0.01130008369612528,82781514,846445,0.01022504855371454,313013,46904,226179,39930
1993,17119960,168293,0.009830221565938237,82555335,797200,0.009656553389311545,313013,46904,226179,39930
1994,17119960,154886,0.009047100577337798,82555335,792567,0.00960043345472464,313013,46904,226179,39930
1995,17119960,187864,0.010973390124743283,82555335,867711,0.010510659305058843,313013,46904,226179,39930
1996,17166864,191774,0.011171172556618378,82781514,846931,0.010230919429668802,313013,46904,226179,39930
1997,17119960,195782,0.011435891205353283,82555335,818900,0.009919407388995514,313013,46904,226179,39930
1998,17119960,177044,0.01034137930228809,82555335,896675,0.010861502772655456,313013,46904,226179,39930
1999,17119960,167722,0.009796868684272627,82555335,844818,0.010233354391936027,313013,46904,226179,39930
2000,17166864,159743,0.009305310509828702,82781514,852664,0.010300174021944077,313013,46904,226179,39930
2001,17119960,179473,0.01048326047490765,82555335,835100,0.010115639407192763,313013,46904,226179,39930
2002,17119960,190725,0.011140505001179909,82555335,842229,0.010201993608287096,313013,46904,226179,39930
2003,17119960,184970,0.010804347673709518,82555335,809480,0.009805302104340077,313013,46904,226179,39930
2004,17166864,153719,0.008954401922214797,82781514,863389,0.01042973193266313,313013,46904,226179,39930
2005,17119960,185258,0.010821170142920895,82555335,909324,0.011014721216987369,313013,46904,226179,39930
2006,17119960,178262,0.01041252432832787,82555335,913232,0.01106205916310557,313013,46904,226179,39930
2007,17119960,176428,0.0103053979098082,82555335,872825,0.01057260563475395,313013,46904,226179,39930
2008,17166864,170268,0.009918410258274312,82781514,821221,0.00992034284369334,313013,46904,226179,39930
2009,17119960,176295,0.010297629200068225,82555335,896889,0.010864094973389667,313013,46904,226179,39930
2010,17119960,199542,0.011655517886724035,82555335,896587,0.010860436820951669,313013,46904,226179,39930
2011,17119960,164267,0.009595057465087535,82555335,833496,0.010096210014773727,313013,46904,226179,39930
2012,17166864,183781,0.010705566258345147,82781514,967708,0.011689904584252953,313013,46904,226179,39930
2013,17119960,159492,0.009316143262016968,82555335,860468,0.010422924211984604,313013,46904,226179,39930
2014,17119960,163826,0.009569298059107615,82555335,801194,0.009704933060958447,313013,46904,226179,39930
