Year,Month,OnOffshoreType,extreme_count,total_count,Frequency
1950,1,Offshore,13,1454024,8.940705242829554e-06
1950,1,Onshore,63,7011549,8.985175743619562e-06
1950,2,Offshore,0,1313312,0.0
1950,2,Onshore,197,6333012,3.1106841420796296e-05
1950,3,Offshore,0,1454024,0.0
1950,3,Onshore,108,7011549,1.5403158417633535e-05
1950,4,Offshore,65,1407120,4.6193643754619364e-05
1950,4,Onshore,830,6785370,0.00012232199570546632
1950,5,Offshore,75,1454024,5.158099178555512e-05
1950,5,Onshore,643,7011549,9.170584131979967e-05
1950,6,Offshore,6,1407120,4.264028654272557e-06
1950,6,Onshore,462,6785370,6.808766507942824e-05
1950,7,Offshore,5,1454024,3.4387327857036748e-06
1950,7,Onshore,174,7011549,2.481619967285403e-05
1950,8,Offshore,0,1454024,0.0
1950,8,Onshore,229,7011549,3.2660400718871106e-05
1950,9,Offshore,3,1407120,2.1320143271362784e-06
1950,9,Onshore,66,6785370,9.726809297061178e-06
1950,10,Offshore,51,1454024,3.507507441417748e-05
1950,10,Onshore,203,7011549,2.8952232951663036e-05
1950,11,Offshore,1,1407120,7.106714423787595e-07
1950,11,Onshore,59,6785370,8.695178007978931e-06
1950,12,Offshore,43,1454024,2.9573101957051603e-05
1950,12,Onshore,79,7011549,1.126712513882453e-05
1951,1,Offshore,40,1454024,2.7509862285629398e-05
1951,1,Onshore,80,7011549,1.1409746976024841e-05
1951,2,Offshore,39,1313312,2.9695913842255306e-05
1951,2,Onshore,59,6333012,9.316262151405998e-06
1951,3,Offshore,5,1454024,3.4387327857036748e-06
1951,3,Onshore,315,7011549,4.492587871809781e-05
1951,4,Offshore,5,1407120,3.5533572118937973e-06
1951,4,Onshore,714,6785370,0.0001052263914863891
1951,5,Offshore,4,1454024,2.75098622856294e-06
1951,5,Onshore,735,7011549,0.00010482705034222823
1951,6,Offshore,4,1407120,2.842685769515038e-06
1951,6,Onshore,900,6785370,0.00013263830859628877
1951,7,Offshore,5,1454024,3.4387327857036748e-06
1951,7,Onshore,188,7011549,2.681290539365838e-05
1951,8,Offshore,2,1454024,1.37549311428147e-06
1951,8,Onshore,74,7011549,1.0554015952822978e-05
1951,9,Offshore,0,1407120,0.0
1951,9,Onshore,155,6785370,2.2843264258249734e-05
1951,10,Offshore,21,1454024,1.4442677699955434e-05
1951,10,Onshore,22,7011549,3.1376804184068316e-06
1951,11,Offshore,157,1407120,0.00011157541645346523
1951,11,Onshore,33,6785370,4.863404648530589e-06
1951,12,Offshore,9,1454024,6.1897190142666146e-06
1951,12,Onshore,304,7011549,4.3357038508894395e-05
1952,1,Offshore,45,1454024,3.094859507133307e-05
1952,1,Onshore,87,7011549,1.2408099836427015e-05
1952,2,Offshore,7,1360216,5.146241479294465e-06
1952,2,Onshore,15,6559191,2.286867389591186e-06
1952,3,Offshore,13,1454024,8.940705242829554e-06
1952,3,Onshore,87,7011549,1.2408099836427015e-05
1952,4,Offshore,6,1407120,4.264028654272557e-06
1952,4,Onshore,612,6785370,9.019404984547638e-05
1952,5,Offshore,11,1454024,7.5652121285480845e-06
1952,5,Onshore,894,7011549,0.0001275039224570776
1952,6,Offshore,32,1407120,2.2741486156120302e-05
1952,6,Onshore,1025,6785370,0.0001510602959013289
1952,7,Offshore,2,1454024,1.37549311428147e-06
1952,7,Onshore,259,7011549,3.693905583488043e-05
1952,8,Offshore,0,1454024,0.0
1952,8,Onshore,27,7011549,3.850789604408384e-06
1952,9,Offshore,5,1407120,3.5533572118937973e-06
1952,9,Onshore,104,6785370,1.5327093437793372e-05
1952,10,Offshore,7,1454024,4.814225899985145e-06
1952,10,Onshore,32,7011549,4.5638987904099365e-06
1952,11,Offshore,5,1407120,3.5533572118937973e-06
1952,11,Onshore,81,6785370,1.193744777366599e-05
1952,12,Offshore,5,1454024,3.4387327857036748e-06
1952,12,Onshore,78,7011549,1.1124503301624221e-05
1953,1,Offshore,7,1454024,4.814225899985145e-06
1953,1,Onshore,39,7011549,5.5622516508121105e-06
1953,2,Offshore,6,1313312,4.568602129577739e-06
1953,2,Onshore,84,6333012,1.3263830859628878e-05
1953,3,Offshore,1,1454024,6.87746557140735e-07
1953,3,Onshore,514,7011549,7.33076243209596e-05
1953,4,Offshore,136,1407120,9.665131616351129e-05
1953,4,Onshore,2136,6785370,0.00031479491906852535
1953,5,Offshore,54,1454024,3.713831408559969e-05
1953,5,Onshore,595,7011549,8.485999313418476e-05
1953,6,Offshore,0,1407120,0.0
1953,6,Onshore,243,6785370,3.581234332099797e-05
1953,7,Offshore,0,1454024,0.0
1953,7,Onshore,170,7011549,2.4245712324052786e-05
1953,8,Offshore,42,1454024,2.8885355399910868e-05
1953,8,Onshore,72,7011549,1.0268772278422358e-05
1953,9,Offshore,0,1407120,0.0
1953,9,Onshore,354,6785370,5.217106804787359e-05
1953,10,Offshore,13,1454024,8.940705242829554e-06
1953,10,Onshore,14,7011549,1.9967057208043474e-06
1953,11,Offshore,32,1407120,2.2741486156120302e-05
1953,11,Onshore,23,6785370,3.38964566412738e-06
1953,12,Offshore,22,1454024,1.5130424257096169e-05
1953,12,Onshore,334,7011549,4.763569362490371e-05
1954,1,Offshore,19,1454024,1.3067184585673964e-05
1954,1,Onshore,56,7011549,7.98682288321739e-06
1954,2,Offshore,2,1313312,1.5228673765259131e-06
1954,2,Onshore,500,6333012,7.89513741644576e-05
1954,3,Offshore,2,1454024,1.37549311428147e-06
1954,3,Onshore,311,7011549,4.435539136929657e-05
1954,4,Offshore,42,1407120,2.9848200579907897e-05
1954,4,Onshore,1213,6785370,0.0001787669648081092
1954,5,Offshore,17,1454024,1.1691691471392494e-05
1954,5,Onshore,844,7011549,0.00012037283059706208
1954,6,Offshore,0,1407120,0.0
1954,6,Onshore,551,6785370,8.12041200406168e-05
1954,7,Offshore,24,1454024,1.650591737137764e-05
1954,7,Onshore,201,7011549,2.8666989277262413e-05
1954,8,Offshore,0,1454024,0.0
1954,8,Onshore,173,7011549,2.4673577835653718e-05
1954,9,Offshore,0,1407120,0.0
1954,9,Onshore,22,6785370,3.242269765687059e-06
1954,10,Offshore,8,1454024,5.50197245712588e-06
1954,10,Onshore,61,7011549,8.699932069218942e-06
1954,11,Offshore,27,1407120,1.9188128944226505e-05
1954,11,Onshore,112,6785370,1.650610062531594e-05
1954,12,Offshore,21,1454024,1.4442677699955434e-05
1954,12,Onshore,80,7011549,1.1409746976024841e-05
1955,1,Offshore,37,1454024,2.5446622614207193e-05
1955,1,Onshore,213,7011549,3.037845132366614e-05
1955,2,Offshore,5,1313312,3.8071684413147828e-06
1955,2,Onshore,22,6333012,3.4738604632361347e-06
1955,3,Offshore,0,1454024,0.0
1955,3,Onshore,116,7011549,1.654413311523602e-05
1955,4,Offshore,11,1407120,7.817385866166354e-06
1955,4,Onshore,629,6785370,9.269944011896183e-05
1955,5,Offshore,10,1454024,6.8774655714073495e-06
