Year,Month,OnOffshoreType,extreme_count,total_count,Frequency
1950,1,Offshore,5676,1454024,0.0039036494583308116
1950,1,Onshore,15610,7011549,0.0022263268786968473
1950,2,Offshore,3173,1313312,0.0024160290928583613
1950,2,Onshore,22313,6333012,0.003523284023463085
1950,3,Offshore,5300,1454024,0.0036450567528458953
1950,3,Onshore,58660,7011549,0.008366196970170214
1950,4,Offshore,20529,1407120,0.014589374040593553
1950,4,Onshore,133987,6785370,0.01974645450432327
1950,5,Offshore,26509,1454024,0.01823147348324374
1950,5,Onshore,155911,7011549,0.022236313259737614
1950,6,Offshore,38918,1407120,0.02765791119449656
1950,6,Onshore,209225,6785370,0.030834722351176132
1950,7,Offshore,29976,1454024,0.02061589079685067
1950,7,Onshore,160761,7011549,0.02292802917015912
1950,8,Offshore,7326,1454024,0.005038431277613024
1950,8,Onshore,43954,7011549,0.006268800232302449
1950,9,Offshore,1667,1407120,0.001184689294445392
1950,9,Onshore,16945,6785370,0.0024972845990712373
1950,10,Offshore,3111,1454024,0.0021395795392648263
1950,10,Onshore,14721,7011549,0.002099536065425771
1950,11,Offshore,5804,1407120,0.00412473705156632
1950,11,Onshore,19910,6785370,0.0029342541379467884
1950,12,Offshore,9357,1454024,0.006435244535165857
1950,12,Onshore,24244,7011549,0.0034577238210843284
1951,1,Offshore,5816,1454024,0.0039999339763305145
1951,1,Onshore,13649,7011549,0.0019466454559470383
1951,2,Offshore,3519,1313312,0.002679485148997344
1951,2,Onshore,19331,6333012,0.00305241802794626
1951,3,Offshore,6113,1454024,0.004204194703801313
1951,3,Onshore,52929,7011549,0.007548831221175235
1951,4,Offshore,19776,1407120,0.014054238444482347
1951,4,Onshore,120263,6785370,0.01772386767412831
1951,5,Offshore,33695,1454024,0.023173620242857063
1951,5,Onshore,191117,7011549,0.027257457660211745
1951,6,Offshore,45562,1407120,0.03237961225766104
1951,6,Onshore,225584,6785370,0.03324564467376134
1951,7,Offshore,29064,1454024,0.01998866593673832
1951,7,Onshore,143618,7011549,0.020483063015034195
1951,8,Offshore,10713,1454024,0.007367828866648694
1951,8,Onshore,52099,7011549,0.007430455096298977
1951,9,Offshore,2091,1407120,0.001486013986013986
1951,9,Onshore,22667,6785370,0.003340569489946753
1951,10,Offshore,1438,1454024,0.0009889795491683769
1951,10,Onshore,22425,7011549,0.0031982946992169634
1951,11,Offshore,3625,1407120,0.002576183978623003
1951,11,Onshore,9540,6785370,0.001405966071120661
1951,12,Offshore,5701,1454024,0.00392084312225933
1951,12,Onshore,14767,7011549,0.0021060966699369852
1952,1,Offshore,5015,1454024,0.0034490489840607857
1952,1,Onshore,17814,7011549,0.0025406654078863316
1952,2,Offshore,3415,1360216,0.002510630664541514
1952,2,Onshore,19722,6559191,0.003006773243834491
1952,3,Offshore,5272,1454024,0.0036257998492459547
1952,3,Onshore,48522,7011549,0.006920296784633467
1952,4,Offshore,15513,1407120,0.011024646085621695
1952,4,Onshore,121156,6785370,0.017855474351435516
1952,5,Offshore,34477,1454024,0.023711438050541118
1952,5,Onshore,178394,7011549,0.025442880025512194
1952,6,Offshore,38988,1407120,0.027707658195463072
1952,6,Onshore,204788,6785370,0.03018081548979643
1952,7,Offshore,28789,1454024,0.019799535633524618
1952,7,Onshore,134843,7011549,0.01923155639360147
1952,8,Offshore,7204,1454024,0.004954526197641855
1952,8,Onshore,40796,7011549,0.005818400470423868
1952,9,Offshore,1055,1407120,0.0007497583717095913
1952,9,Onshore,16924,6785370,0.00249418970520399
1952,10,Offshore,2585,1454024,0.0017778248502088
1952,10,Onshore,8007,7011549,0.0011419730504628864
1952,11,Offshore,4347,1407120,0.0030892887600204675
1952,11,Onshore,9756,6785370,0.0014377992651837704
1952,12,Offshore,4939,1454024,0.00339678024571809
