Year,Month,OnOffshoreType,extreme_count,total_count,Frequency
1950,1,Offshore,29792,1454024,0.020489345430336776
1950,1,Onshore,133502,7011549,0.019040300509915856
1950,2,Offshore,21634,1313312,0.0164728564118808
1950,2,Onshore,104696,6333012,0.016531786139044106
1950,3,Offshore,16022,1454024,0.011019075338508856
1950,3,Onshore,84611,7011549,0.012067376267355472
1950,4,Offshore,9270,1407120,0.0065879242708511004
1950,4,Onshore,72143,6785370,0.010632139441180069
1950,5,Offshore,6830,1454024,0.0046973089852712195
1950,5,Onshore,42931,7011549,0.006122898092846531
1950,6,Offshore,4579,1407120,0.0032541645346523397
1950,6,Onshore,16679,6785370,0.0024580826100861117
1950,7,Offshore,5927,1454024,0.004076273844173136
1950,7,Onshore,14974,7011549,0.0021356193902374496
1950,8,Offshore,8705,1454024,0.005986833779910098
1950,8,Onshore,19587,7011549,0.002793533925242482
1950,9,Offshore,8920,1407120,0.006339189266018535
1950,9,Onshore,41429,6785370,0.006105636096484054
1950,10,Offshore,16262,1454024,0.011184134512222632
1950,10,Onshore,71061,7011549,0.010134850373291265
1950,11,Offshore,24361,1407120,0.017312667007788957
1950,11,Onshore,88609,6785370,0.013058830984898392
1950,12,Offshore,19976,1454024,0.013738425225443322
1950,12,Onshore,104025,7011549,0.014836236614762301
1951,1,Offshore,22894,1454024,0.015745269679179986
1951,1,Onshore,129078,7011549,0.01840934150214168
1951,2,Offshore,21554,1313312,0.016411941716819766
1951,2,Onshore,95811,6333012,0.015128820220141696
1951,3,Offshore,17758,1454024,0.012213003361705171
1951,3,Onshore,98581,7011549,0.01405980333304381
1951,4,Offshore,10653,1407120,0.007570782875660925
1951,4,Onshore,54273,6785370,0.007998532136051534
1951,5,Offshore,5218,1454024,0.003588661535160355
1951,5,Onshore,45880,7011549,0.0065434898907502466
1951,6,Offshore,10073,1407120,0.007158593439081244
1951,6,Onshore,26788,6785370,0.003947905567419315
1951,7,Offshore,5409,1454024,0.0037200211275742355
1951,7,Onshore,18477,7011549,0.0026352236859501373
1951,8,Offshore,7904,1454024,0.005435948787640369
1951,8,Onshore,19390,7011549,0.002765437423314021
1951,9,Offshore,10637,1407120,0.0075594121325828646
1951,9,Onshore,50725,6785370,0.007475642448385276
1951,10,Offshore,19189,1454024,0.013197168684973563
1951,10,Onshore,69148,7011549,0.009862014798727071
1951,11,Offshore,24179,1407120,0.017183324805276026
1951,11,Onshore,94350,6785370,0.013904916017844274
1951,12,Offshore,21116,1454024,0.014522456300583759
1951,12,Onshore,100943,7011549,0.014396676112510944
1952,1,Offshore,17146,1454024,0.01179210246873504
1952,1,Onshore,113752,7011549,0.01622351922520972
1952,2,Offshore,22204,1360216,0.016323877972322043
1952,2,Onshore,139079,6559191,0.021203681978463503
1952,3,Offshore,16709,1454024,0.01149155722326454
1952,3,Onshore,110802,7011549,0.015802784805468807
1952,4,Offshore,13200,1407120,0.009380863039399626
1952,4,Onshore,77605,6785370,0.0114371065984611
1952,5,Offshore,5940,1454024,0.004085214549415966
1952,5,Onshore,51462,7011549,0.00733960498600238
1952,6,Offshore,5584,1407120,0.003968389334242993
1952,6,Onshore,29667,6785370,0.004372200779028999
1952,7,Offshore,6239,1454024,0.004290850770001045
1952,7,Onshore,16745,7011549,0.0023882026639191994
1952,8,Offshore,5360,1454024,0.0036863215462743393
1952,8,Onshore,21110,7011549,0.003010746983298555
1952,9,Offshore,8878,1407120,0.006309341065438626
1952,9,Onshore,33465,6785370,0.0049319344413053376
1952,10,Offshore,18438,1454024,0.012680671020560872
1952,10,Onshore,75259,7011549,0.01073357684585817
1952,11,Offshore,28993,1407120,0.020604497128887372
1952,11,Onshore,102338,6785370,0.015082154694585556
1952,12,Offshore,24752,1454024,0.017023102782347473
1952,12,Onshore,132106,7011549,0.01884120042518422
1953,1,Offshore,23083,1454024,0.015875253778479585
1953,1,Onshore,129054,7011549,0.018405918578048873
1953,2,Offshore,18476,1313312,0.014068248824346385
1953,2,Onshore,103990,6333012,0.01642030679872389
1953,3,Offshore,20246,1454024,0.01392411679587132
1953,3,Onshore,75328,7011549,0.01074341775262499
1953,4,Offshore,10957,1407120,0.007786826994144068
1953,4,Onshore,74261,6785370,0.010944281594076668
1953,5,Offshore,7045,1454024,0.004845174495056477
1953,5,Onshore,48185,7011549,0.006872233225496962
1953,6,Offshore,5207,1407120,0.0037004662004662004
1953,6,Onshore,22918,6785370,0.0033775608404552735
1953,7,Offshore,7317,1454024,0.005032241558598757
1953,7,Onshore,17218,7011549,0.0024556627929149463
1953,8,Offshore,5525,1454024,0.0037997997282025607
1953,8,Onshore,22001,7011549,0.0031378230402440317
1953,9,Offshore,8895,1407120,0.006321422479959066
1953,9,Onshore,48696,6785370,0.007176616750449865
1953,10,Offshore,18333,1454024,0.012608457632061094
1953,10,Onshore,60599,7011549,0.008642740712501616
1953,11,Offshore,19675,1407120,0.013982460628802092
1953,11,Onshore,97653,6785370,0.014391698610392654
1953,12,Offshore,23163,1454024,0.015930273503050842
